sample,CAN_ID,RX_ID,LEN,Motor_ID_byte,p_out_rad,v_out_rad_s,t_out_Nm,p_cmd_rad,v_cmd_rad_s,kp,kd,raw_bytes
205,2,2,8,2,0.8680,1.8437,0.5873,0.8797,0.2500,80.00,3.00,02 88 E3 84 B8 12
206,2,2,8,2,0.8940,2.1612,0.1746,0.9055,0.2500,80.00,3.00,02 89 27 85 88 05
207,2,2,8,2,0.9192,2.0147,0.4286,0.9310,0.2500,80.00,3.00,02 89 69 85 28 0D
208,2,2,8,2,0.9447,2.3321,0.4286,0.9567,0.2500,80.00,3.00,02 89 AC 85 F8 0D
209,2,2,8,2,0.9703,2.3810,0.6190,0.9825,0.2500,80.00,3.00,02 89 EF 86 18 13
210,2,2,8,2,0.9962,1.7949,0.4921,1.0080,0.2500,80.00,3.00,02 8A 33 84 98 0F
211,2,2,8,2,1.0214,2.0147,0.5873,1.0337,0.2500,80.00,3.00,02 8A 75 85 28 12
212,2,2,8,2,1.0473,2.0391,0.3651,1.0592,0.2500,80.00,3.00,02 8A B9 85 38 0B
213,2,2,8,2,1.0729,2.3810,0.4286,1.0850,0.2500,80.00,3.00,02 8A FC 86 18 0D
214,2,2,8,2,1.0985,2.3321,0.3016,1.1107,0.2500,80.00,3.00,02 8B 3F 85 F8 09
215,2,2,8,2,1.1240,2.8449,-0.0159,1.1362,0.2500,80.00,3.00,02 8B 82 87 47 FF
216,2,2,8,2,1.1500,2.8449,0.3333,1.1620,0.2500,80.00,3.00,02 8B C6 87 48 0A
217,2,2,8,2,1.1763,2.5519,0.0794,1.1875,0.2500,80.00,3.00,02 8C 0B 86 88 02
218,2,2,8,2,1.2015,2.2344,0.3968,1.2132,0.2500,80.00,3.00,02 8C 4D 85 B8 0C
219,2,2,8,2,1.2274,2.2100,0.4921,1.2390,0.2500,80.00,3.00,02 8C 91 85 A8 0F
220,2,2,8,2,1.2526,1.9414,0.5873,1.2645,0.2500,80.00,3.00,02 8C D3 84 F8 12
221,2,2,8,2,1.2785,1.8437,0.5238,1.2902,0.2500,80.00,3.00,02 8D 17 84 B8 10
222,2,2,8,2,1.3037,2.4054,0.4921,1.3157,0.2500,80.00,3.00,02 8D 59 86 28 0F
223,2,2,8,2,1.3296,2.3077,0.4286,1.3414,0.2500,80.00,3.00,02 8D 9D 85 E8 0D
224,2,2,8,2,1.3552,2.1856,0.3651,1.3672,0.2500,80.00,3.00,02 8D E0 85 98 0B
225,2,2,8,2,1.3811,1.5995,0.6190,1.3927,0.2500,80.00,3.00,02 8E 24 84 18 13
226,2,2,8,2,1.4067,2.4542,0.5238,1.4184,0.2500,80.00,3.00,02 8E 67 86 48 10
227,2,2,8,2,1.4319,1.6728,0.6825,1.4439,0.2500,80.00,3.00,02 8E A9 84 48 15
228,2,2,8,2,1.4574,2.1368,0.4921,1.4697,0.2500,80.00,3.00,02 8E EC 85 78 0F
229,2,2,8,2,1.4834,2.4542,0.2381,1.4954,0.2500,80.00,3.00,02 8F 30 86 48 07
230,2,2,8,2,1.5089,2.5519,0.3651,1.5209,0.2500,80.00,3.00,02 8F 73 86 88 0B
231,2,2,8,2,1.5345,2.5275,0.3016,1.5467,0.2500,80.00,3.00,02 8F B6 86 78 09
232,2,2,8,2,1.5528,-0.8669,-0.2698,1.5493,-0.2500,80.00,3.00,02 8F E6 7D C7 F7
233,2,2,8,2,1.5341,-2.1123,-0.4921,1.5235,-0.2500,80.00,3.00,02 8F B5 7A 97 F0
234,2,2,8,2,1.5082,-2.0391,-0.4603,1.4978,-0.2500,80.00,3.00,02 8F 71 7A C7 F1
235,2,2,8,2,1.4830,-1.5995,-0.7460,1.4723,-0.2500,80.00,3.00,02 8F 2F 7B E7 E8
236,2,2,8,2,1.4570,-1.5995,-0.7778,1.4465,-0.2500,80.00,3.00,02 8E EB 7B E7 E7
237,2,2,8,2,1.4322,-1.8926,-1.0952,1.4210,-0.2500,80.00,3.00,02 8E AA 7B 27 DD
238,2,2,8,2,1.4063,-1.5507,-0.4921,1.3953,-0.2500,80.00,3.00,02 8E 66 7C 07 F0
239,2,2,8,2,1.3811,-2.2589,-0.4286,1.3695,-0.2500,80.00,3.00,02 8E 24 7A 37 F2
240,2,2,8,2,1.3556,-1.8926,-0.5238,1.3440,-0.2500,80.00,3.00,02 8D E1 7B 27 EF
241,2,2,8,2,1.3296,-2.1123,-0.3333,1.3183,-0.2500,80.00,3.00,02 8D 9D 7A 97 F5
242,2,2,8,2,1.3037,-2.5275,-0.5238,1.2928,-0.2500,80.00,3.00,02 8D 59 79 87 EF
243,2,2,8,2,1.2781,-2.8694,-0.3016,1.2670,-0.2500,80.00,3.00,02 8D 16 78 A7 F6
244,2,2,8,2,1.2522,-2.3565,-0.4603,1.2413,-0.2500,80.00,3.00,02 8C D2 79 F7 F1
245,2,2,8,2,1.2263,-2.2833,-0.3016,1.2158,-0.2500,80.00,3.00,02 8C 8E 7A 27 F6
246,2,2,8,2,1.2007,-2.3810,-0.3333,1.1900,-0.2500,80.00,3.00,02 8C 4B 79 E7 F5
247,2,2,8,2,1.1759,-2.5031,-0.4286,1.1645,-0.2500,80.00,3.00,02 8C 0A 79 97 F2
248,2,2,8,2,1.1522,-1.6239,-1.0317,1.1388,-0.2500,80.00,3.00,02 8B CC 7B D7 DF
249,2,2,8,2,1.1282,-1.5751,-1.2857,1.1130,-0.2500,80.00,3.00,02 8B 8D 7B F7 D7
250,2,2,8,2,1.1069,-2.1123,-1.6984,1.0875,-0.2500,80.00,3.00,02 8B 55 7A 97 CA
251,2,2,8,2,1.0836,-2.0147,-2.0159,1.0618,-0.2500,80.00,3.00,02 8B 18 7A D7 C0
252,2,2,8,2,1.0603,-1.5751,-2.9048,1.0360,-0.2500,80.00,3.00,02 8A DB 7B F7 A4
253,2,2,8,2,1.0363,-1.4774,-3.2540,1.0105,-0.2500,80.00,3.00,02 8A 9C 7C 37 99
254,2,2,8,2,1.0111,-1.3065,-3.1587,0.9848,-0.2500,80.00,3.00,02 8A 5A 7C A7 9C
255,2,2,8,2,0.9863,-1.4042,-3.2222,0.9593,-0.2500,80.00,3.00,02 8A 19 7C 67 9A
256,2,2,8,2,0.9623,-1.4530,-3.6032,0.9335,-0.2500,80.00,3.00,02 89 DA 7C 47 8E
257,2,2,8,2,0.9382,-2.4054,-3.6032,0.9078,-0.2500,80.00,3.00,02 89 9B 79 D7 8E
258,2,2,8,2,0.9146,-2.6740,-3.5397,0.8823,-0.2500,80.00,3.00,02 89 5D 79 27 90
259,2,2,8,2,0.8917,-2.5519,-3.7937,0.8583,-0.2500,80.00,3.00,02 89 21 79 77 88
260,2,2,8,2,0.8688,-1.9414,-4.0159,0.8356,-0.2500,80.00,3.00,02 88 E5 7B 07 81
261,2,2,8,2,0.8467,-2.0391,-3.9841,0.8126,-0.2500,80.00,3.00,02 88 AB 7A C7 82
262,2,2,8,2,0.8242,-1.1600,-4.2381,0.7903,-0.2500,80.00,3.00,02 88 70 7D 07 7A
263,2,2,8,2,0.8009,-2.1368,-4.0476,0.7681,-0.2500,80.00,3.00,02 88 33 7A 87 80
264,2,2,8,2,0.7795,-2.8205,-3.8571,0.7451,-0.2500,80.00,3.00,02 87 FB 78 C7 86
265,2,2,8,2,0.7605,-2.0391,-4.3651,0.7256,-0.2500,80.00,3.00,02 87 C9 7A C7 76
266,2,2,8,2,0.7414,-1.9170,-4.0159,0.7066,-0.2500,80.00,3.00,02 87 97 7B 17 81
267,2,2,8,2,0.7242,-1.3797,-4.5873,0.6893,-0.2500,80.00,3.00,02 87 6A 7C 77 6F
268,2,2,8,2,0.7021,-2.2589,-4.3016,0.6686,-0.2500,80.00,3.00,02 87 30 7A 37 78
269,2,2,8,2,0.6785,-2.6740,-3.6032,0.6458,-0.2500,80.00,3.00,02 86 F2 79 27 8E
270,2,2,8,2,0.6537,-2.4542,-3.4762,0.6221,-0.2500,80.00,3.00,02 86 B1 79 B7 92
271,2,2,8,2,0.6270,-2.1368,-3.2222,0.5976,-0.2500,80.00,3.00,02 86 6B 7A 87 9A
272,2,2,8,2,0.5961,-3.0159,-2.0159,0.5718,-0.2500,80.00,3.00,02 86 1A 78 47 C0
273,2,2,8,2,0.5632,-2.1856,-1.2857,0.5463,-0.2500,80.00,3.00,02 85 C4 7A 67 D7
274,2,2,8,2,0.5320,-2.7228,-0.0794,0.5206,-0.2500,80.00,3.00,02 85 72 79 07 FD
275,2,2,8,2,0.5053,-2.7717,-0.2063,0.4948,-0.2500,80.00,3.00,02 85 2C 78 E7 F9
276,2,2,8,2,0.4797,-2.0391,-0.2381,0.4693,-0.2500,80.00,3.00,02 84 E9 7A C7 F8
277,2,2,8,2,0.4541,-2.3321,-0.5873,0.4436,-0.2500,80.00,3.00,02 84 A6 7A 07 ED
278,2,2,8,2,0.4286,-1.5018,-0.8730,0.4181,-0.2500,80.00,3.00,02 84 63 7C 27 E4
279,2,2,8,2,0.4034,-1.7705,-0.6825,0.3923,-0.2500,80.00,3.00,02 84 21 7B 77 EA
280,2,2,8,2,0.3779,-1.1844,-1.0317,0.3666,-0.2500,80.00,3.00,02 83 DE 7C F7 DF
281,2,2,8,2,0.3523,-1.5751,-0.5873,0.3411,-0.2500,80.00,3.00,02 83 9B 7B F7 ED
282,2,2,8,2,0.3271,-1.4530,-0.8730,0.3153,-0.2500,80.00,3.00,02 83 59 7C 47 E4
283,2,2,8,2,0.3016,-2.0879,-0.4921,0.2898,-0.2500,80.00,3.00,02 83 16 7A A7 F0
284,2,2,8,2,0.2752,-1.9170,-0.3651,0.2641,-0.2500,80.00,3.00,02 82 D1 7B 17 F4
285,2,2,8,2,0.2497,-2.7717,-0.2381,0.2383,-0.2500,80.00,3.00,02 82 8E 78 E7 F8
286,2,2,8,2,0.2241,-2.0879,-0.4921,0.2128,-0.2500,80.00,3.00,02 82 4B 7A A7 F0
287,2,2,8,2,0.1982,-2.3077,-0.0476,0.1871,-0.2500,80.00,3.00,02 82 07 7A 17 FE
288,2,2,8,2,0.1722,-2.6007,-0.2381,0.1613,-0.2500,80.00,3.00,02 81 C3 79 57 F8
289,2,2,8,2,0.1467,-2.4786,-0.1429,0.1358,-0.2500,80.00,3.00,02 81 80 79 A7 FB
290,2,2,8,2,0.1204,-2.6496,-0.1429,0.1101,-0.2500,80.00,3.00,02 81 3B 79 37 FB
291,2,2,8,2,0.0948,-1.9170,-0.3333,0.0846,-0.2500,80.00,3.00,02 80 F8 7B 17 F5
292,2,2,8,2,0.0692,-2.3077,-0.3968,0.0588,-0.2500,80.00,3.00,02 80 B5 7A 17 F3
293,2,2,8,2,0.0437,-1.6239,-1.0000,0.0331,-0.2500,80.00,3.00,02 80 72 7B D7 E0
294,2,2,8,2,0.0151,0.0611,-0.0794,0.0157,0.2500,80.00,3.00,02 80 27 80 27 FD
295,2,2,8,2,0.0292,1.4286,0.8095,0.0415,0.2500,80.00,3.00,02 80 4C 83 A8 19
296,2,2,8,2,0.0551,2.0879,0.4921,0.0673,0.2500,80.00,3.00,02 80 90 85 58 0F
297,2,2,8,2,0.0803,2.1123,0.2063,0.0927,0.2500,80.00,3.00,02 80 D2 85 68 06
298,2,2,8,2,0.1066,2.4542,0.2063,0.1185,0.2500,80.00,3.00,02 81 17 86 48 06
299,2,2,8,2,0.1322,2.5763,-0.0476,0.1440,0.2500,80.00,3.00,02 81 5A 86 97 FE
